Commercial,Industrial,Residential,Transportation
2519.938547,7427.013035,36526.90235,52503.33799
2389.527871,7202.200451,34403.24414,40381.43679
2248.792635,6952.57208,22706.52724,34669.43172
2162.355359,6642.7583,16233.38906,27033.1243
2208.37535,5093.850856,14496.09315,29158.61026
2193.151074,4878.490666,8957.523581,18458.85395
2202.30217,4628.994378,5400.630744,15495.087
2230.163931,4469.676993,4851.392098,13205.96356
2316.328347,4432.890584,4215.801706,9694.638442
2447.812084,4684.759543,5082.971744,11070.77207
10043.58912,4928.936322,9520.19369,6224.249326
11241.67215,5211.759526,20352.07102,11600.64936
10507.56585,4975.33432,32680.29762,21654.9167
9363.4853,4741.612058,37873.41902,37957.74048
8513.016621,4567.350721,38540.79282,52449.18573
8217.67833,4618.430799,39924.13564,68880.21785
8547.367238,4679.168342,39028.01663,85150.19443
8371.050942,4647.164582,38774.49154,89152.51124
8464.578457,4711.833709,33446.91384,93604.35636
8438.982319,4678.934565,32925.62668,99078.7681
8575.887986,4652.593469,33516.65749,107837.2192
2916.84157,4625.889379,41846.37887,102588.0372
2959.887377,4630.732296,42229.48669,120606.7113
2847.607502,4602.711655,47971.73551,118341.2618
2777.989923,4711.516575,44586.48092,101821.332
2671.431139,4792.512333,40072.55083,85394.1653
2556.2436,4795.860479,24919.65501,75583.23804
2396.340919,4967.999542,19260.04545,53942.97267
2234.192994,5020.513066,14926.68333,32299.64279
2207.336828,4969.973935,9030.814944,18623.5118
2223.76302,4736.411119,5472.794011,15696.64847
2260.683847,4585.134528,4935.969236,13418.85881
2351.226743,4541.08156,4299.136951,9878.754031
2501.58816,4616.322279,5229.948176,11353.21149
7956.893621,4641.130208,9874.840646,6422.552947
9452.195716,4944.349173,20847.23507,11841.3088
9300.576185,4811.423036,32898.51009,21745.34075
8579.585314,4656.763686,37667.85771,37674.3597
7692.592428,4458.183106,38151.48832,51818.69999
7500.97542,4541.759707,39732.43047,68399.98864
7789.23157,4631.463228,39141.50277,85261.69878
7662.78768,4632.437867,39191.23908,89897.28155
7771.743791,4720.744214,34028.46365,95034.46541
7806.681717,4705.083042,33664.03911,101052.8491
7918.748644,4678.343001,34347.36025,110290.6968
2978.988668,4646.922819,41369.37352,104838.0096
3016.054498,4709.983365,41487.14966,122937.3732
2913.071131,4596.97915,47637.63539,121054.9031
2841.33355,4679.254045,44054.81255,104135.5127
2719.957948,4730.877049,39230.18885,86965.55935
2558.25492,4808.871469,24986.27516,75723.62785
2368.315776,5037.111769,18780.66505,52490.97524
2066.372467,6185.037662,10947.17041,20485.12552
1995.524581,6141.821286,7575.374319,13401.68568
1977.715643,6140.069405,4420.198138,10418.19196
2018.513413,6094.877869,4318.318789,10532.37234
2136.795635,6159.627434,6293.694541,9810.688575
2333.034001,6671.831737,10689.8772,15541.75736
12191.74406,7488.053032,21310.68769,20242.43466
12799.54018,7871.118222,30724.61887,37851.11024
10935.99246,7839.509696,29429.60062,43731.30678
9587.022084,7911.331711,20645.34251,43338.70361
8618.140691,7657.001706,22685.52209,47729.1368
8308.816802,7692.394508,25892.86188,58168.2677
8490.508186,7794.166669,23821.45204,66353.7992
8371.605647,7831.889707,22846.49613,68990.2116
8307.069441,7774.229254,23067.98958,78184.8636
8345.12676,7671.823302,21339.73452,104013.7806
8522.459036,7527.476392,23348.90451,136216.4222
3145.616762,7395.89054,28012.86712,160179.1325
3046.901531,7418.18039,33189.32082,129943.5843
2886.846353,7577.636663,34933.75021,76548.13898
2657.495263,7636.218511,35600.09383,55474.44318
2496.495074,7410.370368,32782.31002,42230.20759
2318.274319,7147.658865,23546.47664,35734.92861
2211.889354,6881.59838,16392.60315,26715.86475
2135.099983,6543.584765,11046.5564,18355.08176
2081.621144,6377.407079,7875.227276,13920.26856
2059.82381,6363.283744,4588.818534,10806.92702
2096.806597,6299.968068,4483.166889,10909.36411
2217.177149,6363.829711,6530.303938,10164.382
2422.846352,6864.61796,11129.13987,16149.81079
